date,gold_cost_rub
2019-03-29,2722.8
2019-03-30,2687.23
2019-03-31,2687.23
2019-04-01,2687.23
2019-04-02,2717.15
2019-04-03,2709.54
2019-04-04,2706.51
2019-04-05,2712.81
2019-04-06,2710.41
2019-04-07,2710.41
2019-04-08,2710.41
2019-04-09,2725.26
2019-04-10,2711.25
2019-04-11,2715.75
2019-04-12,2701.25
2019-04-13,2688.57
2019-04-14,2688.57
2019-04-15,2688.57
2019-04-16,2657.89
2019-04-17,2651.5
2019-04-18,2623.51
2019-04-19,2629.41
2019-04-20,2623.31
2019-04-21,2623.31
2019-04-22,2623.31
2019-04-23,2616.16
2019-04-24,2611.74
2019-04-25,2620.2
2019-04-26,2657.28
2019-04-27,2665.93
2019-04-28,2665.93
2019-04-29,2665.93
2019-04-30,2666.72
2019-05-01,2670.47
2019-05-02,2670.47
2019-05-03,2670.47
2019-05-04,2670.47
2019-05-05,2670.47
2019-05-06,2670.47
2019-05-07,2685.68
2019-05-08,2686.58
2019-05-09,2700.6
2019-05-10,2700.6
2019-05-11,2700.6
2019-05-12,2700.6
2019-05-13,2700.6
2019-05-14,2700.5
2019-05-15,2724.24
2019-05-16,2708.13
2019-05-17,2689.1
2019-05-18,2671.88
2019-05-19,2671.88
2019-05-20,2671.88
2019-05-21,2644.05
2019-05-22,2647.59
2019-05-23,2638.46
2019-05-24,2645.61
2019-05-25,2662.03
2019-05-26,2662.03
2019-05-27,2662.03
2019-05-28,2658.05
2019-05-29,2664.08
2019-05-30,2678.47
2019-05-31,2669.91
2019-06-01,2724.35
2019-06-02,2724.35
2019-06-03,2724.35
2019-06-04,2769.32
2019-06-05,2772.92
2019-06-06,2800.97
2019-06-07,2803.38
2019-06-08,2790.11
2019-06-09,2790.11
2019-06-10,2790.11
2019-06-11,2767.62
2019-06-12,2743.48
2019-06-13,2743.48
2019-06-14,2775.72
2019-06-15,2801.67
2019-06-16,2801.67
2019-06-17,2801.67
2019-06-18,2756.91
2019-06-19,2781.1
2019-06-20,2761.3
2019-06-21,2815.75
2019-06-22,2817.88
2019-06-23,2817.88
2019-06-24,2817.88
2019-06-25,2842.64
2019-06-26,2873.62
2019-06-27,2840.7
2019-06-28,2842.29
2019-06-29,2865.87
2019-06-30,2865.87
2019-07-01,2865.87
2019-07-02,2817.96
2019-07-03,2831.86
2019-07-04,2909.22
2019-07-05,2884.84
2019-07-06,2891.42
2019-07-07,2891.42
2019-07-08,2891.42
2019-07-09,2884.91
2019-07-10,2845.37
2019-07-11,2862.32
2019-07-12,2882.23
2019-07-13,2847.96
2019-07-14,2847.96
2019-07-15,2847.96
2019-07-16,2860.78
2019-07-17,2859.79
2019-07-18,2834.84
2019-07-19,2870.2
2019-07-20,2904.57
2019-07-21,2904.57
2019-07-22,2904.57
2019-07-23,2884.19
2019-07-24,2877.12
2019-07-25,2892.77
2019-07-26,2896.27
2019-07-27,2878.45
2019-07-28,2878.45
2019-07-29,2878.45
2019-07-30,2897.85
2019-07-31,2910.73
2019-08-01,2916.76
2019-08-02,2886.37
2019-08-03,2984.54
2019-08-04,2984.54
2019-08-05,2984.54
2019-08-06,3048.33
2019-08-07,3064.51
2019-08-08,3113.34
2019-08-09,3135.52
2019-08-10,3154.3
2019-08-11,3154.3
2019-08-12,3154.3
2019-08-13,3159.47
2019-08-14,3221.08
2019-08-15,3145.23
2019-08-16,3215.04
2019-08-17,3201.94
2019-08-18,3201.94
2019-08-19,3201.94
2019-08-20,3210.86
2019-08-21,3226.42
2019-08-22,3194.86
2019-08-23,3161.83
2019-08-24,3154.36
2019-08-25,3154.36
2019-08-26,3154.36
2019-08-27,3189.7
2019-08-28,3263.35
2019-08-29,3291.97
2019-08-30,3297.6
2019-08-31,3263.29
2019-09-01,3263.29
2019-09-02,3263.29
2019-09-03,3263.01
2019-09-04,3296.48
2019-09-05,3290.0
2019-09-06,3275.94
2019-09-07,3193.33
2019-09-08,3193.33
2019-09-09,3193.33
2019-09-10,3183.15
2019-09-11,3144.52
2019-09-12,3142.18
2019-09-13,3150.08
2019-09-14,3122.25
2019-09-15,3122.25
2019-09-16,3122.25
2019-09-17,3082.34
2019-09-18,3090.88
2019-09-19,3111.72
2019-09-20,3093.77
2019-09-21,3087.59
2019-09-22,3087.59
2019-09-23,3087.59
2019-09-24,3123.92
2019-09-25,3113.77
2019-09-26,3159.17
2019-09-27,3114.97
2019-09-28,3098.54
2019-09-29,3098.54
2019-09-30,3098.54
2019-10-01,3091.6
2019-10-02,3067.01
2019-10-03,3122.35
2019-10-04,3149.4
2019-10-05,3156.0
2019-10-06,3156.0
2019-10-07,3156.0
2019-10-08,3130.78
2019-10-09,3128.29
2019-10-10,3146.52
2019-10-11,3139.3
2019-10-12,3093.85
2019-10-13,3093.85
2019-10-14,3093.85
2019-10-15,3092.08
2019-10-16,3087.91
2019-10-17,3067.03
2019-10-18,3055.16
2019-10-19,3058.56
2019-10-20,3058.56
2019-10-21,3058.56
2019-10-22,3056.17
2019-10-23,3043.12
2019-10-24,3065.02
2019-10-25,3056.83
2019-10-26,3095.87
2019-10-27,3095.87
2019-10-28,3095.87
2019-10-29,3090.57
2019-10-30,3063.49
2019-10-31,3060.14
2019-11-01,3088.73
2019-11-02,3108.27
2019-11-03,3108.27
2019-11-04,3108.27
2019-11-05,3108.27
2019-11-06,3059.56
2019-11-07,3043.19
2019-11-08,3040.86
2019-11-09,3005.5
2019-11-10,3005.5
2019-11-11,3005.5
2019-11-12,3011.34
2019-11-13,2987.0
2019-11-14,3020.71
2019-11-15,3029.82
2019-11-16,3010.41
2019-11-17,3010.41
2019-11-18,3010.41
2019-11-19,2989.35
2019-11-20,3003.55
2019-11-21,3037.48
2019-11-22,3015.06
2019-11-23,3013.7
2019-11-24,3013.7
2019-11-25,3013.7
2019-11-26,2991.94
2019-11-27,3000.45
2019-11-28,3002.45
2019-11-29,3003.83
2019-11-30,3000.48
2019-12-01,3000.48
2019-12-02,3000.48
2019-12-03,3018.22
2019-12-04,3032.19
2019-12-05,3046.02
2019-12-06,3025.36
2019-12-07,3021.37
2019-12-08,3021.37
2019-12-09,3021.37
2019-12-10,2998.6
2019-12-11,2993.49
2019-12-12,3000.21
2019-12-13,2997.7
2019-12-14,2957.63
2019-12-15,2957.63
2019-12-16,2957.63
2019-12-17,2981.48
2019-12-18,2972.28
2019-12-19,2975.68
2019-12-20,2964.03
2019-12-21,2963.3
2019-12-22,2963.3
2019-12-23,2963.3
2019-12-24,2969.95
2019-12-25,2979.8
2019-12-26,2958.18
2019-12-27,2960.64
2019-12-28,3012.68
2019-12-29,3012.68
2019-12-30,3012.68
2019-12-31,3008.36
2020-01-01,3031.25
2020-01-02,3031.25
2020-01-03,3031.25
2020-01-04,3031.25
2020-01-05,3031.25
2020-01-06,3031.25
2020-01-07,3031.25
2020-01-08,3031.25
2020-01-09,3031.25
2020-01-10,3047.28
2020-01-11,3050.6
2020-01-12,3050.6
2020-01-13,3050.6
2020-01-14,3037.92
2020-01-15,3050.51
2020-01-16,3065.17
2020-01-17,3078.52
2020-01-18,3079.29
2020-01-19,3079.29
2020-01-20,3079.29
2020-01-21,3081.32
2020-01-22,3094.9
2020-01-23,3097.53
2020-01-24,3095.33
2020-01-25,3103.42
2020-01-26,3103.42
2020-01-27,3103.42
2020-01-28,3173.57
2020-01-29,3190.83
2020-01-30,3151.82
2020-01-31,3202.92
2020-02-01,3209.04
2020-02-02,3209.04
2020-02-03,3209.04
2020-02-04,3244.1
2020-02-05,3204.39
2020-02-06,3152.67
2020-02-07,3159.22
2020-02-08,3200.38
2020-02-09,3200.38
2020-02-10,3200.38
2020-02-11,3227.24
2020-02-12,3223.2
2020-02-13,3175.81
2020-02-14,3220.62
2020-02-15,3215.88
2020-02-16,3215.88
2020-02-17,3215.88
2020-02-18,3216.56
2020-02-19,3256.2
2020-02-20,3295.6
2020-02-21,3300.14
2020-02-22,3377.38
2020-02-23,3377.38
2020-02-24,3377.38
2020-02-25,3377.38
2020-02-26,3456.3
2020-02-27,3471.31
2020-02-28,3473.34
2020-02-29,3502.84
2020-03-01,3502.84
2020-03-02,3502.84
2020-03-03,3432.64
2020-03-04,3415.91
2020-03-05,3494.33
2020-03-06,3505.62
2020-03-07,3662.03
2020-03-08,3662.03
2020-03-09,3662.03
2020-03-10,3662.03
2020-03-11,3837.74
2020-03-12,3820.22
2020-03-13,3895.28
2020-03-14,3737.0
2020-03-15,3737.0
2020-03-16,3737.0
2020-03-17,3585.9
2020-03-18,3497.72
2020-03-19,3738.58
2020-03-20,3815.92
2020-03-21,3774.94
2020-03-22,3774.94
2020-03-23,3774.94
2020-03-24,3886.3
2020-03-25,4054.83
2020-03-26,4054.15
2020-03-27,4100.44
2020-03-28,4051.63
2020-03-29,4051.63
2020-03-30,4051.63
2020-03-31,4051.63
2020-04-01,4051.63
2020-04-02,4051.63
2020-04-03,4051.63
2020-04-04,4051.63
2020-04-05,4051.63
2020-04-06,4051.63
2020-04-07,4020.39
2020-04-08,4008.13
2020-04-09,4016.12
2020-04-10,3987.68
2020-04-11,3985.1
2020-04-12,3985.1
2020-04-13,3985.1
2020-04-14,3972.83
2020-04-15,4044.48
2020-04-16,4057.99
2020-04-17,4126.35
2020-04-18,4025.22
2020-04-19,4025.22
2020-04-20,4025.22
2020-04-21,4044.82
2020-04-22,4115.41
2020-04-23,4217.37
2020-04-24,4172.81
2020-04-25,4149.17
2020-04-26,4149.17
2020-04-27,4149.17
2020-04-28,4112.99
2020-04-29,4095.17
2020-04-30,4041.8
2020-05-01,4014.11
2020-05-02,4014.11
2020-05-03,4014.11
2020-05-04,4014.11
2020-05-05,4014.11
2020-05-06,4014.11
2020-05-07,4040.41
2020-05-08,4023.9
2020-05-09,4047.21
2020-05-10,4047.21
2020-05-11,4047.21
2020-05-12,4047.21
2020-05-13,4021.69
2020-05-14,4021.35
2020-05-15,4079.71
2020-05-16,4083.17
2020-05-17,4083.17
2020-05-18,4083.17
2020-05-19,4122.31
2020-05-20,4038.71
2020-05-21,4070.13
2020-05-22,3951.23
2020-05-23,4003.7
2020-05-24,4003.7
2020-05-25,4003.7
2020-05-26,3990.41
2020-05-27,3940.32
2020-05-28,3895.83
2020-05-29,3939.39
2020-05-30,3925.38
2020-05-31,3925.38
2020-06-01,3925.38
2020-06-02,3888.16
2020-06-03,3859.62
2020-06-04,3773.95
2020-06-05,3786.42
2020-06-06,3772.23
2020-06-07,3772.23
2020-06-08,3772.23
2020-06-09,3716.12
2020-06-10,3770.05
2020-06-11,3789.36
2020-06-12,3848.83
2020-06-13,3848.83
2020-06-14,3848.83
2020-06-15,3848.83
2020-06-16,3871.06
2020-06-17,3875.98
2020-06-18,3836.28
2020-06-19,3878.14
2020-06-20,3866.43
2020-06-21,3866.43
2020-06-22,3866.43
2020-06-23,3899.24
2020-06-24,3887.67
2020-06-25,3929.94
2020-06-26,3927.51
2020-06-27,3916.32
2020-06-28,3916.32
2020-06-29,3916.32
2020-06-30,3978.0
2020-07-01,4010.17
2020-07-02,4047.99
2020-07-03,4017.25
2020-07-04,4022.46
2020-07-05,4022.46
2020-07-06,4022.46
2020-07-07,4069.87
2020-07-08,4119.83
2020-07-09,4121.14
2020-07-10,4130.29
2020-07-11,4135.33
2020-07-12,4135.33
2020-07-13,4135.33
2020-07-14,4112.58
2020-07-15,4112.12
2020-07-16,4118.45
2020-07-17,4132.77
2020-07-18,4156.86
2020-07-19,4156.86
2020-07-20,4156.86
2020-07-21,4188.41
2020-07-22,4159.87
2020-07-23,4212.67
2020-07-24,4294.6
2020-07-25,4359.47
2020-07-26,4359.47
2020-07-27,4359.47
2020-07-28,4466.19
2020-07-29,4466.49
2020-07-30,4538.78
2020-07-31,4604.62
2020-08-01,4661.68
2020-08-02,4661.68
2020-08-03,4661.68
2020-08-04,4704.01
2020-08-05,4653.01
2020-08-06,4793.21
2020-08-07,4811.98
2020-08-08,4880.61
2020-08-09,4880.61
2020-08-10,4880.61
2020-08-11,4815.71
2020-08-12,4695.8
2020-08-13,4548.31
2020-08-14,4569.73
2020-08-15,4586.18
2020-08-16,4586.18
2020-08-17,4586.18
2020-08-18,4574.27
2020-08-19,4733.95
2020-08-20,4693.26
2020-08-21,4572.94
2020-08-22,4604.75
2020-08-23,4604.75
2020-08-24,4604.75
2020-08-25,4659.72
2020-08-26,4612.67
2020-08-27,4659.27
2020-08-28,4689.71
2020-08-29,4693.4
2020-08-30,4693.4
2020-08-31,4693.4
2020-09-01,4644.5
2020-09-02,4703.11
2020-09-03,4675.61
2020-09-04,4692.8
2020-09-05,4683.5
2020-09-06,4683.5
2020-09-07,4683.5
2020-09-08,4686.6
2020-09-09,4690.71
2020-09-10,4716.38
2020-09-11,4722.48
2020-09-12,4681.88
2020-09-13,4681.88
